Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1,Chroma Deviation,1,1,0.553734061931,0.222222222222(0.885245901639),KNN(All)
2,Chroma Vector,1,12,0,0.0(0.888888888889),GP-DP(All)
3,"Chroma Vector,Chroma Deviation",2,13,0.576612903226,0.25(0.903225806452),GP-DP(All)
4,MFCCs,1,13,0.480431848853,0.153846153846(0.80701754386),AB(All)
5,"MFCCs,Chroma Deviation",2,14,0.553734061931,0.222222222222(0.885245901639),AB(All)
6,"MFCCs,Chroma Vector",2,25,0.576612903226,0.25(0.903225806452),GP-DP(All)
7,"MFCCs,Chroma Vector,Chroma Deviation",3,26,0.576612903226,0.25(0.903225806452),GP-DP(All)
8,Spectral Rolloff,1,1,0,0.0(0.888888888889),GP-DP(All)
9,"Spectral Rolloff,Chroma Deviation",2,2,0,0.0(0.888888888889),GP-DP(All)
10,"Spectral Rolloff,Chroma Vector",2,13,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
11,"Spectral Rolloff,Chroma Vector,Chroma Deviation",3,14,0.65,0.4(0.9),GP-DP(All)
12,"Spectral Rolloff,MFCCs",2,14,0,0.0(0.888888888889),GP-DP(All)
13,"Spectral Rolloff,MFCCs,Chroma Deviation",3,15,0.65,0.4(0.9),AB(All)
14,"Spectral Rolloff,MFCCs,Chroma Vector",3,26,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
15,"Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",4,27,0.65,0.4(0.9),GP-DP(All)
16,Spectral Flux,1,1,0.514637904468,0.181818181818(0.847457627119),AB(All)
17,"Spectral Flux,Chroma Deviation",2,2,0.514637904468,0.181818181818(0.847457627119),AB(All)
18,"Spectral Flux,Chroma Vector",2,13,0.497126436782,0.166666666667(0.827586206897),AB(All)
19,"Spectral Flux,Chroma Vector,Chroma Deviation",3,14,0,0.0(0.870967741935),GP-DP(All)
