Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1,Chroma Deviation,1,2,0.448484848485,0.133333333333(0.763636363636),AB(All)
2,Chroma Vector,1,24,0.576612903226,0.25(0.903225806452),GP-DP(All)
3,"Chroma Vector,Chroma Deviation",2,26,0.576612903226,0.25(0.903225806452),GP-DP(All)
4,MFCCs,1,26,0.62249614792,0.363636363636(0.881355932203),AB(All)
5,"MFCCs,Chroma Deviation",2,28,0.65,0.4(0.9),AB(All)
6,"MFCCs,Chroma Vector",2,50,0.681238615665,0.444444444444(0.918032786885),GP-DP(All)
7,"MFCCs,Chroma Vector,Chroma Deviation",3,52,0.681238615665,0.444444444444(0.918032786885),GP-DP(All)
8,Spectral Rolloff,1,2,0,0.0(0.888888888889),GP-DP(All)
9,"Spectral Rolloff,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),KNN(All)
10,"Spectral Rolloff,Chroma Vector",2,26,0.497126436782,0.166666666667(0.827586206897),AB(All)
11,"Spectral Rolloff,Chroma Vector,Chroma Deviation",3,28,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
12,"Spectral Rolloff,MFCCs",2,28,0,0.0(0.888888888889),GP-DP(All)
13,"Spectral Rolloff,MFCCs,Chroma Deviation",3,30,0.576612903226,0.25(0.903225806452),KNN(All)
14,"Spectral Rolloff,MFCCs,Chroma Vector",3,52,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
15,"Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
16,Spectral Flux,1,2,0.576612903226,0.25(0.903225806452),KNN(All)
17,"Spectral Flux,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),RBF SVM(All)
18,"Spectral Flux,Chroma Vector",2,26,0.497126436782,0.166666666667(0.827586206897),AB(All)
19,"Spectral Flux,Chroma Vector,Chroma Deviation",3,28,0.514637904468,0.181818181818(0.847457627119),AB(All)
20,"Spectral Flux,MFCCs",2,28,0.553571428571,0.285714285714(0.821428571429),AB(All)
21,"Spectral Flux,MFCCs,Chroma Deviation",3,30,0.65,0.4(0.9),AB(All)
22,"Spectral Flux,MFCCs,Chroma Vector",3,52,0,0.0(0.852459016393),GP-DP(All)
23,"Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",4,54,0,0.0(0.852459016393),GP-DP(All)
24,"Spectral Flux,Spectral Rolloff",2,4,0,0.0(0.888888888889),GP-DP(All)
25,"Spectral Flux,Spectral Rolloff,Chroma Deviation",3,6,0.480431848853,0.153846153846(0.80701754386),AB(All)
26,"Spectral Flux,Spectral Rolloff,Chroma Vector",3,28,0.533333333333,0.2(0.866666666667),AB(All)
27,"Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.533333333333,0.2(0.866666666667),AB(All)
28,"Spectral Flux,Spectral Rolloff,MFCCs",3,30,0,0.0(0.888888888889),GP-DP(All)
29,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",4,32,0,0.0(0.888888888889),GP-DP(All)
30,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",4,54,0.497126436782,0.166666666667(0.827586206897),AB(All)
31,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",5,56,0,0.0(0.870967741935),GP-DP(All)
32,Spectral Entropy,1,2,0.513888888889,0.25(0.777777777778),AB(All)
33,"Spectral Entropy,Chroma Deviation",2,4,0.476495726496,0.222222222222(0.730769230769),AB(All)
34,"Spectral Entropy,Chroma Vector",2,26,0,0.0(0.870967741935),GP-DP(All)
35,"Spectral Entropy,Chroma Vector,Chroma Deviation",3,28,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
36,"Spectral Entropy,MFCCs",2,28,0.574898785425,0.307692307692(0.842105263158),AB(All)
37,"Spectral Entropy,MFCCs,Chroma Deviation",3,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
