Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1,Chroma Deviation,1,2,0.553734061931,0.222222222222(0.885245901639),KNN(FCBF)
2,Chroma Vector,1,24,0.62249614792,0.363636363636(0.881355932203),AB(CFS)
3,"Chroma Vector,Chroma Deviation",2,26,0.62249614792,0.363636363636(0.881355932203),AB(CFS)
4,MFCCs,1,26,0.62249614792,0.363636363636(0.881355932203),AB(All)
5,"MFCCs,Chroma Deviation",2,28,0.65,0.4(0.9),AB(All)
6,"MFCCs,Chroma Vector",2,50,0.681238615665,0.444444444444(0.918032786885),GP-DP(All)
7,"MFCCs,Chroma Vector,Chroma Deviation",3,52,0.681238615665,0.444444444444(0.918032786885),GP-DP(All)
8,Spectral Rolloff,1,2,0,0.0(0.888888888889),GP-DP(MRMR)
9,"Spectral Rolloff,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),KNN(All)
10,"Spectral Rolloff,Chroma Vector",2,26,0.65,0.4(0.9),AB(CFS)
11,"Spectral Rolloff,Chroma Vector,Chroma Deviation",3,28,0.65,0.4(0.9),AB(CFS)
12,"Spectral Rolloff,MFCCs",2,28,0,0.0(0.888888888889),GP-DP(MRMR)
13,"Spectral Rolloff,MFCCs,Chroma Deviation",3,30,0.576612903226,0.25(0.903225806452),KNN(All)
14,"Spectral Rolloff,MFCCs,Chroma Vector",3,52,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
15,"Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
16,Spectral Flux,1,2,0.576612903226,0.25(0.903225806452),KNN(MRMR)
17,"Spectral Flux,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),RBF SVM(All)
18,"Spectral Flux,Chroma Vector",2,26,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
19,"Spectral Flux,Chroma Vector,Chroma Deviation",3,28,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
20,"Spectral Flux,MFCCs",2,28,0.681238615665,0.444444444444(0.918032786885),KNN(CIFE)
21,"Spectral Flux,MFCCs,Chroma Deviation",3,30,0.681238615665,0.444444444444(0.918032786885),KNN(CIFE)
22,"Spectral Flux,MFCCs,Chroma Vector",3,52,0.681238615665,0.444444444444(0.918032786885),KNN(CIFE)
23,"Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.681238615665,0.444444444444(0.918032786885),KNN(CIFE)
24,"Spectral Flux,Spectral Rolloff",2,4,0.576612903226,0.25(0.903225806452),KNN(MRMR)
25,"Spectral Flux,Spectral Rolloff,Chroma Deviation",3,6,0.576612903226,0.25(0.903225806452),KNN(MRMR)
26,"Spectral Flux,Spectral Rolloff,Chroma Vector",3,28,0.576612903226,0.25(0.903225806452),KNN(MRMR)
27,"Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),KNN(MRMR)
28,"Spectral Flux,Spectral Rolloff,MFCCs",3,30,0.576612903226,0.25(0.903225806452),KNN(MRMR)
29,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",4,32,0.576612903226,0.25(0.903225806452),KNN(MRMR)
30,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",4,54,0.576612903226,0.25(0.903225806452),KNN(MRMR)
31,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.576612903226,0.25(0.903225806452),KNN(MRMR)
32,Spectral Entropy,1,2,0.513888888889,0.25(0.777777777778),AB(MRMR)
33,"Spectral Entropy,Chroma Deviation",2,4,0.597701149425,0.333333333333(0.862068965517),AB(CIFE)
34,"Spectral Entropy,Chroma Vector",2,26,0.65,0.4(0.9),AB(CFS)
35,"Spectral Entropy,Chroma Vector,Chroma Deviation",3,28,0.65,0.4(0.9),AB(CFS)
