Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1,Chroma Deviation,1,2,0.576612903226,0.25(0.903225806452),KNN(FCBF)
2,Chroma Vector,1,24,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
3,"Chroma Vector,Chroma Deviation",2,26,0.576612903226,0.25(0.903225806452),KNN(FCBF)
4,MFCCs,1,26,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
5,"MFCCs,Chroma Deviation",2,28,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
6,"MFCCs,Chroma Vector",2,50,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
7,"MFCCs,Chroma Vector,Chroma Deviation",3,52,0.698275862069,0.5(0.896551724138),AB(All)
8,Spectral Rolloff,1,2,0,0.0(0.888888888889),GP-DP(MRMR)
9,"Spectral Rolloff,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),KNN(FCBF)
10,"Spectral Rolloff,Chroma Vector",2,26,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
11,"Spectral Rolloff,Chroma Vector,Chroma Deviation",3,28,0.576612903226,0.25(0.903225806452),KNN(FCBF)
12,"Spectral Rolloff,MFCCs",2,28,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
13,"Spectral Rolloff,MFCCs,Chroma Deviation",3,30,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
14,"Spectral Rolloff,MFCCs,Chroma Vector",3,52,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
15,"Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.576612903226,0.25(0.903225806452),KNN(FCBF)
16,Spectral Flux,1,2,0.681238615665,0.444444444444(0.918032786885),KNN(FCBF)
17,"Spectral Flux,Chroma Deviation",2,4,0.65,0.4(0.9),KNN(All)
18,"Spectral Flux,Chroma Vector",2,26,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
19,"Spectral Flux,Chroma Vector,Chroma Deviation",3,28,0.576612903226,0.25(0.903225806452),KNN(FCBF)
20,"Spectral Flux,MFCCs",2,28,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
21,"Spectral Flux,MFCCs,Chroma Deviation",3,30,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
22,"Spectral Flux,MFCCs,Chroma Vector",3,52,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
23,"Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.576612903226,0.25(0.903225806452),KNN(FCBF)
24,"Spectral Flux,Spectral Rolloff",2,4,0,0.0(0.888888888889),GP-DP(MRMR)
25,"Spectral Flux,Spectral Rolloff,Chroma Deviation",3,6,0.576612903226,0.25(0.903225806452),KNN(FCBF)
26,"Spectral Flux,Spectral Rolloff,Chroma Vector",3,28,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
27,"Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),KNN(FCBF)
28,"Spectral Flux,Spectral Rolloff,MFCCs",3,30,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
29,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",4,32,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
30,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",4,54,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
31,"Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.576612903226,0.25(0.903225806452),KNN(FCBF)
32,Spectral Entropy,1,2,0,0.0(0.888888888889),GP-DP(MRMR)
33,"Spectral Entropy,Chroma Deviation",2,4,0.576612903226,0.25(0.903225806452),KNN(FCBF)
34,"Spectral Entropy,Chroma Vector",2,26,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
35,"Spectral Entropy,Chroma Vector,Chroma Deviation",3,28,0.576612903226,0.25(0.903225806452),KNN(FCBF)
36,"Spectral Entropy,MFCCs",2,28,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
37,"Spectral Entropy,MFCCs,Chroma Deviation",3,30,0.698275862069,0.5(0.896551724138),AB(All)
38,"Spectral Entropy,MFCCs,Chroma Vector",3,52,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
39,"Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.576612903226,0.25(0.903225806452),KNN(FCBF)
40,"Spectral Entropy,Spectral Rolloff",2,4,0,0.0(0.888888888889),GP-DP(MRMR)
41,"Spectral Entropy,Spectral Rolloff,Chroma Deviation",3,6,0.576612903226,0.25(0.903225806452),KNN(FCBF)
42,"Spectral Entropy,Spectral Rolloff,Chroma Vector",3,28,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
43,"Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),KNN(FCBF)
